common_wtpro_geneid_RNA,common_b12pro_geneid_RNA,background_geneid_RNA
,,LOC118239680
,,LOC118239681
,,LOC118239683
,,LOC118239699
,,LOC118239716
,,LOC118239718
,,LOC118239719
,,LOC118239722
,,LOC118239723
,,LOC118239724
,,LOC118239725
,,LOC118239728
,,LOC118239729
,,LOC118239731
,,LOC118239736
,,LOC118239739
,,LOC118239741
,,LOC118239744
,,Lonp1
,,Lonp2
,,Lonrf1
,,Loxl1
,,Loxl2
,,Loxl4
,,Lpar1
,,Lpar2
,,Lpar6
,,Lpcat2
,,Lpcat4
,,Lpgat1
,,Lpin2
,,Lpin3
,,Lpl
,,Lpp
,,Lpxn
,,Lrba
,,Lrch1
,,Lrch3
,,Lrch4
,,Lrfn4
,,Lrguk
,,Lrif1
,,Lrig2
,,Lrig3
,,Lrit3
,,Lrp1
,,Lrp10
,,Lrp2bp
,,Lrp4
,,Lrp5
,,Lrp8
,,Lrpap1
,,Lrpprc
,,Lrr1
,,Lrrc1
,,Lrrc14
,,Lrrc15
,,Lrrc18
,,Lrrc19
,,Lrrc2
,,Lrrc20
,,Lrrc24
,,Lrrc25
,,Lrrc28
,,Lrrc29
,,Lrrc40
,,Lrrc41
,,Lrrc42
,,Lrrc47
,,Lrrc49
,,Lrrc51
,,Lrrc56
,,Lrrc57
,,Lrrc58
,,Lrrc69
,,Lrrc70
,,Lrrc71
,,Lrrc73
,,Lrrc8e
,,Lrrcc1
,,Lrrfip1
,,Lrrfip2
,,Lrriq3
,,Lrriq4
,,Lrrk1
,,Lrrk2
,,Lrrn4
,,Lrwd1
,,Lsg1
,,Lsm1
,,Lsm10
,,Lsm14b
,,Lsm2
,,Lsm4
,,Lsm6
,,Lsm7
,,Lsm8
,,Lsmem1
,,Lsmem2
,,Lsp1
,,Lss
,,Lta4h
,,Ltbp2
,,Ltbp3
,,Ltn1
,,Lto1
,,Ltv1
,,Lurap1l
,,Luzp1
,,Lvrn
,,Lxn
,,Ly6d
,,Ly6e
,,Ly96
,,Lyar
,,Lypla1
,,Lyplal1
,,Lyrm1
,,Lyrm2
,,Lyrm4
,,Lysmd1
,,Lysmd2
,,Lysmd3
,,Lysmd4
,,Lyst
,,Lzic
,,Lztfl1
,,Lztr1
,,Lzts2
,,Lzts3
,,Mab21l3
,,Macc1
,,Macf1
,,Macir
,,Maco1
,,Macrod1
,,Macrod2
,,Mad1l1
,,Mad2l2
,,Madd
,,Maea
,,Maf1
,,Maff
,,Mafk
,,Magi2
,,Magi3
,,Magoh
,,Maip1
,,Mak16
,,Malrd1
,,Malt1
,,Mamdc2
,,Mamdc4
,,Maml2
,,Maml3
,,Man1a1
,,Man1a2
,,Man1c1
,,Man2a1
,,Man2a2
,,Man2b1
,,Man2b2
,,Man2c1
,,Manbal
,,Manea
,,Manf
,,Map10
,,Map11
,,Map1b
,,Map1lc3a
,,Map1lc3b
,,Map1s
,,Map2
,,Map2k1
,,Map2k2
,,Map2k5
,,Map2k7
,,Map3k1
,,Map3k11
,,Map3k12
,,Map3k13
,,Map3k19
,,Map3k2
,,Map3k20
,,Map3k21
,,Map3k4
,,Map3k5
,,Map3k6
,,Map3k7
,,Map3k7cl
,,Map4
,,Map4k2
,,Map4k3
,,Map4k4
,,Map4k5
,,Map6
,,Map7d1
,,Map9
,,Mapk1
,,Mapk14
,,Mapk1ip1l
,,Mapk3
,,Mapk6
,,Mapk8
,,Mapk8ip1
,,Mapk8ip2
,,Mapkapk2
,,Mapkapk3
,,Mapkapk5
,,Mapkbp1
,,Mapre1
,,Mapre2
,,Marchf1
,,Marchf2
,,Marchf3
,,Marchf5
,,Marchf6
,,Marchf7
,,Marchf9
,,Marcks
,,Marf1
,,Mark1
,,Mark2
,,Mark3
,,Mars1
,,Mars2
,,Masp1
,,Mast1
,,Mast2
,,Mast3
,,Mast4
,,Mastl
,,Matk
,,Matn4
,,Matr3
,,Mau2
,,Mavs
,,Max
,,Maz
,,Mbd1
,,Mbd2
,,Mbd3
,,Mbd5
,,Mbd6
,,Mbip
,,Mblac1
,,Mblac2
,,Mbnl1
,,Mbnl2
,,Mboat1
,,Mbtps1
,,Mcat
,,Mcc
,,Mccc1
,,Mccc2
,,Mcee
,,Mcf2l
,,Mcfd2
,,Mcl1
,,Mcm10
,,Mcm3
,,Mcm3ap
,,Mcm4
,,Mcm5
,,Mcm6
,,Mcm7
,,Mcm8
,,Mcm9
,,Mcmbp
,,Mcmdc2
,,Mcoln1
,,Mcph1
,,Mcrs1
,,Mctp1
,,Mcu
,,Mcub
,,Mcur1
,,Mdc1
,,Mdfic
,,Mdga1
,,Mdga2
,,Mdh1
,,Mdh1b
,,Mdh2
,,Mdk
,,Mdm1
,,Mdm2
,,Mdm4
,,Mdn1
,,Me1
,,Me2
,,Me3
,,Mea1
,,Meaf6
,,Meak7
,,Mecom
,,Mecr
,,Med10
,,Med13l
,,Med15
,,Med16
,,Med17
,,Med18
,,Med19
,,Med22
,,Med23
,,Med26
,,Med28
,,Med4
,,Med6
,,Med8
,,Medag
,,Mef2a
,,Mef2c
,,Mef2d
,,Megf11
,,Megf6
,,Megf9
,,Meis1
,,Meis2
,,Melk
,,Men1
,,Mepce
,,Mertk
,,Mesd
,,Met
,,Metap1
,,Metap1d
,,Metap2
,,Mettl1
,,Mettl14
,,Mettl15
,,Mettl17
,,Mettl18
,,Mettl21a
,,Mettl21c
,,Mettl25
,,Mettl3
,,Mettl4
,,Mettl5
,,Mettl6
,,Mettl7a
,,Mettl7b
,,Mettl8
,,Mettl9
,,Mex3a
,,Mex3b
,,Mex3c
,,Mex3d
,,Mfap1
,,Mff
,,Mfge8
,,Mfhas1
,,Mfn1
,,Mfn2
,,Mfsd1
,,Mfsd10
,,Mfsd12
,,Mfsd13a
,,Mfsd14a
,,Mfsd14b
,,Mfsd2a
,,Mfsd3
,,Mfsd4a
,,Mfsd4b
,,Mfsd5
,,Mfsd6
,,Mfsd8
,,Mfsd9
,,Mga
,,Mgarp
,,Mgat2
,,Mgat4a
,,Mgat5
,,Mgme1
,,Mgst3
,,Mia3
,,Mib1
,,Mib2
,,Mical1
,,Mical2
,,Micalcl
,,Micall1
,,Micall2
,,Micos10
,,Micos13
,,Micu1
,,Micu2
,,Micu3
,,Mideas
,,Midn
,,Mief1
,,Mier1
,,Mier2
,,Mier3
,,Mif
,,Miip
,,Minar1
,,Mindy1
,,Mindy2
,,Mindy3
,,Minpp1
,,Mios
,,Mipep
,,Mipol1
,,Mir1306
,,Mir1956
,,Mir3535
,,Mir425
,,Mis18a
,,Mis18bp1
,,Mitd1
,,Mki67
,,Mkks
,,Mkln1
,,Mknk1
,,Mknk2
,,Mkrn1
,,Mkrn3
,,Mlc1
,,Mlec
,,Mlf1
,,Mlh1
,,Mlh3
,,Mlkl
,,Mllt1
,,Mllt10
,,Mllt11
,,Mllt3
,,Mlph
,,Mlxip
,,Mlxipl
,,Mlycd
,,Mmaa
,,Mmab
,,Mmachc
,,Mmadhc
,,Mmp10
,,Mmp11
,,Mmp12
,,Mmp13
,,Mmp14
,,Mmp15
,,Mmp17
,,Mmp19
,,Mmp2
,,Mmp21
,,Mmp23b
,,Mmp24
,,Mmp24os
,,Mmp3
,,Mmp9
,,Mmrn2
,,Mms19
,,Mms22l
,,Mmut
,,Mnat1
,,Mnd1
,,Mns1
,,Moap1
,,Mob1b
,,Mob2
,,Mob3a
,,Mob3b
,,Mob3c
,,Mocs1
,,Mocs2
,,Mogat1
,,Mogat3
,,Mok
,,Mon1a
,,Mon1b
,,Mon2
,,Morc1
,,Morc2
,,Morc3
,,Morf4l1
,,Morn1
,,Morn3
,,Morn4
,,Mospd3
,,Mov10
,,Moxd1
,,Mpc1
,,Mpc2
,,Mpdz
,,Mphosph10
,,Mphosph6
,,Mphosph8
,,Mphosph9
,,Mpi
,,Mplkip
,,Mpnd
,,Mpp5
,,Mppe1
,,Mpst
,,Mpv17l
,,Mpv17l2
,,Mpzl1
,,Mpzl3
,,Mras
,,Mre11
,,Mrfap1
,,Mrgbp
,,Mrgprf
,,Mri1
,,Mrm2
,,Mro
,,Mroh1
,,Mroh2b
,,Mroh6
,,Mroh8
,,Mrpl11
,,Mrpl14
,,Mrpl15
,,Mrpl16
,,Mrpl17
,,Mrpl18
,,Mrpl2
,,Mrpl20
,,Mrpl21
,,Mrpl23
,,Mrpl24
,,Mrpl3
,,Mrpl30
,,Mrpl32
,,Mrpl34
,,Mrpl36
,,Mrpl37
,,Mrpl39
,,Mrpl4
,,Mrpl40
,,Mrpl41
,,Mrpl42
,,Mrpl43
,,Mrpl44
,,Mrpl46
,,Mrpl47
,,Mrpl48
,,Mrpl49
,,Mrpl50
,,Mrpl52
,,Mrpl54
,,Mrpl57
,,Mrpl9
,,Mrps10
,,Mrps11
,,Mrps14
,,Mrps15
,,Mrps16
,,Mrps17
,,Mrps18b
,,Mrps18c
,,Mrps2
,,Mrps21
,,Mrps22
,,Mrps24
,,Mrps26
,,Mrps27
,,Mrps28
,,Mrps30
,,Mrps31
,,Mrps33
,,Mrps36
,,Mrps5
,,Mrps9
,,Mrs2
,,Mrtfa
,,Mrto4
,,Ms4a15
,,Msantd1
,,Msantd2
,,Msantd3
,,Msantd4
,,Msh2
,,Msh3
,,Msh5
,,Msh6
,,Msl2
,,Msmo1
,,Msmp
,,Msr1
,,Msra
,,Msrb2
,,Msrb3
,,Mss51
,,Mst1
,,Mst1r
,,Msto1
,,Msx1
,,Mt1
,,Mta1
,,Mta2
,,Mta3
,,Mtap
,,Mtarc1
,,Mtarc2
,,Mtch1
,,Mtch2
,,Mtcl1
,,Mterf1
,,Mterf2
,,Mterf4
,,Mtf1
,,Mtf1_1
,,Mtfmt
,,Mtfp1
,,Mtfr1
,,Mtfr1l
,,Mtfr2
,,Mtg1
,,Mtg2
,,Mthfd1
,,Mthfd1l
,,Mthfr
,,Mthfs
,,Mthfsd
,,Mtif2
,,Mtif3
,,Mtln
,,Mtmr10
,,Mtmr11
,,Mtmr12
,,Mtmr2
,,Mtmr3
,,Mtmr6
,,Mtmr7
,,Mtmr9
,,Mto1
,,Mtor
,,Mtpn
,,Mtr
,,Mtres1
,,Mtrex
,,Mtrf1
,,Mtrf1l
,,Mtrr
,,Mtss2
,,Mttp
,,Mtus1
,,Mtus2
,,Mtx1
,,Mtx2
,,Mtx3
,,Muc1
,,Muc13
,,Muc5b
,,Mul1
,,Mus81
,,Musk
,,Mustn1
,,Mutyh
,,Mvb12a
,,Mvd
,,Mvk
,,Mvp
,,Mxd3
,,Mxd4
,,Mxi1
,,Mxra8
,,Mybl1
,,Mybl2
,,Mybpc1
,,Mycbp
,,Mycbp2
,,Mycl
,,Myd88
,,Mydgf
,,Myef2
,,Myg1
,,Myh7b
,,Myh9
,,Myl10
,,Myl6
,,Myl6b
,,Myl9
,,Mylip
,,Mylk
,,Mylk2
,,Mylpf
,,Mynn
,,Myo10
,,Myo1a
,,Myo1b
,,Myo1e
,,Myo1g
,,Myo5a
,,Myo5c
,,Myo6
,,Myo7a
,,Myo9a
,,Myo9b
,,Myof
,,Myom1
,,Myom2
,,Myom3
,,Myorg
,,Mypn
,,Myrf
,,Mysm1
,,Myzap
,,Mzb1
,,Mzt2b
,,N4bp1
,,N4bp2
,,N4bp2l1
,,N4bp2l2
,,N6amt1
,,Naa15
,,Naa16
,,Naa20
,,Naa25
,,Naa30
,,Naa35
,,Naa40
,,Naa50
,,Naa80
,,Naaa
,,Naaladl2
,,Nab1
,,Nab2
,,Nabp1
,,Nabp2
,,Nacad
,,Nacc1
,,Nacc2
,,Nadk
,,Nadk2
,,Nadsyn1
,,Nae1
,,Naf1
,,Naga
,,Nampt
,,Nanp
,,Nans
,,Nap1l1
,,Nap1l4
,,Napb
,,Napepld
,,Napg
,,Naprt
,,Nars1
,,Nars2
,,Nasp
,,Nat10
,,Nav1
,,Nav2
,,Nav3
,,Naxd
,,Naxe
,,Nbea
,,Nbeal1
,,Nbeal2
,,Nbl1
,,Nbn
,,Ncam1
,,Ncan
,,Ncapd3
,,Ncapg
,,Ncapg2
,,Ncaph
,,Ncaph2
,,Ncbp1
,,Ncbp2
,,Ncbp2as2
,,Ncdn
,,Nceh1
,,Nck1
,,Nck2
,,Nckap1
,,Nckap5
,,Nckap5l
,,Nckipsd
,,Ncl
,,Ncln
,,Ncoa2
,,Ncoa3
,,Ncoa4
,,Ncoa5
,,Ncoa6
,,Ncoa7
,,Ncor2
,,Ncstn
,,Ndc1
,,Ndc80
,,Nde1
,,Ndfip1
,,Ndfip2
,,Ndor1
,,Ndrg2
,,Ndst1
,,Ndst2
,,Ndufa10
,,Ndufa11
,,Ndufa12
,,Ndufa13
,,Ndufa2
,,Ndufa4
,,Ndufa4l2
,,Ndufa5
,,Ndufa6
,,Ndufa7
,,Ndufab1
,,Ndufaf1
,,Ndufaf2
,,Ndufaf3
,,Ndufaf4
,,Ndufaf5
,,Ndufaf6
,,Ndufb2
,,Ndufb3
,,Ndufb4
,,Ndufb5
,,Ndufb6
,,Ndufb7
,,Ndufb8
,,Ndufc1
,,Ndufc2
,,Ndufs1
,,Ndufs2
,,Ndufs3
,,Ndufs4
,,Ndufs5
,,Ndufs6
,,Ndufs7
,,Ndufs8
,,Ndufv1
,,Ndufv2
,,Ndufv3
,,Neb
,,Necab2
,,Necab3
,,Necap2
,,Nectin3
,,Nedd1
,,Nedd4
,,Nedd4l
,,Nedd8
,,Nedd9
,,Neil1
,,Neil2
,,Neil3
,,Nek1
,,Nek11
,,Nek2
,,Nek3
,,Nek4
,,Nek5
,,Nek7
,,Nek9
,,Nelfa
,,Nelfb
,,Nelfcd
,,Nelfe
,,Nemp1
,,Nemp2
,,Nenf
,,Neo1
,,Nepro
,,Net1
,,Neu1
,,Neu2
,,Neu3
,,Neurl1
,,Neurl2
,,Neurl3
,,Nexn
,,Nf2
,,Nfasc
,,Nfat5
,,Nfatc1
,,Nfatc2
,,Nfatc2ip
,,Nfatc3
,,Nfatc4
,,Nfe2l2
,,Nfia
,,Nfic
,,Nfil3
,,Nfilz
,,Nfix
,,Nfkb1
,,Nfkb2
,,Nfkbia
,,Nfkbie
,,Nfkbil1
,,Nfkbiz
,,Nfrkb
,,Nfs1
,,Nfx1
,,Nfxl1
,,Nfya
,,Nfyb
,,Nfyc
,,Ngdn
,,Ngf
,,Ngly1
,,Ngrn
,,Nhej1
,,Nhlrc2
,,Nhlrc3
,,Nhsl1
,,Niban1
,,Niban3
,,Nicn1
,,Nid2_1
,,Nif3l1
,,Nifk
,,Nim1k
,,Nin
,,Ninj1
,,Ninl
,,Nip7
,,Nipa1
,,Nipa2
,,Nipal3
,,Nipbl
,,Nipsnap1
,,Nipsnap2
,,Nisch
,,Nit1
,,Nit2
,,Nkain1
,,Nkain3
,,Nkapd1
,,Nkd2
,,Nkiras1
,,Nktr
,,Nlgn1
,,Nln
,,Nlrc5
,,Nmb
,,Nmd3
,,Nme6
,,Nme7
,,Nmi
,,Nmnat1
,,Nmnat2
,,Nmnat3
,,Nmt2
,,Nmur1
,,Nnat
,,Nnmt
,,Nnt
,,Noa1
,,Nob1
,,Nobox
,,Noc2l
,,Noc3l
,,Noc4l
,,Noct
,,Nod2
,,Nol12
,,Nol3
,,Nol6
,,Nol7
,,Nol8
,,Nol9
,,Nolc1
,,Nop10
,,Nop14
,,Nop16
,,Nop56
,,Nop58
,,Nop9
,,Notch1
,,Notch2
,,Notch3
,,Notch4
,,Nova1
,,Nox4
,,Npas2
,,Npc1
,,Npc2
,,Npdc1
,,Npepl1
,,Npff
,,Npffr2
,,Nphp1
,,Nphp3
,,Npm2
,,Npm3
,,Nppa
,,Nppb
,,Npr1
,,Npr2
,,Nprl2
,,Nptn
,,Nptxr
,,Nqo1
,,Nqo2
,,Nr1d2
,,Nr1h3
,,Nr1h4
,,Nr1i2
,,Nr2c1
,,Nr2c2ap
,,Nr2f1
,,Nr2f2
,,Nr2f6
,,Nr3c1
,,Nr3c2
,,Nr4a1
,,Nr4a2
,,Nr4a3
,,Nrap
,,Nras
,,Nrbf2
,,Nrdc
,,Nrde2
,,Nrf1
,,Nrg2
,,Nrg3
,,Nrg4
,,Nrgn
,,Nrip1
,,Nrip3
,,Nrm
,,Nrn1
,,Nrp1
,,Nrp2
,,Nrsn2
,,Nrxn2
,,Nsa2
,,Nsd1
,,Nsd2
,,Nsd3
,,Nsfl1c
,,Nsg1
,,Nsl1
,,Nsmaf
,,Nsmce1
,,Nsmce4a
,,Nsmf
,,Nsun2
,,Nsun3
,,Nsun4
,,Nsun5
,,Nsun6
,,Nt5c2
,,Nt5dc1
,,Nt5dc2
,,Nt5dc3
,,Nt5e
,,Ntan1
,,Ntn4
,,Ntng1
,,Ntpcr
,,Nuak1
,,Nuak2
,,Nucb2
,,Nucks1
,,Nudc
,,Nudcd3
,,Nudt1
,,Nudt12
,,Nudt13
,,Nudt14
,,Nudt15
,,Nudt17
,,Nudt18
,,Nudt2
,,Nudt21
,,Nudt22
,,Nudt4
,,Nudt5
,,Nudt6
,,Nudt8
,,Nudt9
,,Nuf2
,,Nufip1
,,Numa1
,,Numb
,,Nup107
,,Nup133
,,Nup153
,,Nup155
,,Nup160
,,Nup205
,,Nup210l
,,Nup35
,,Nup37
,,Nup43
,,Nup50
,,Nup54
,,Nup58
,,Nup93
,,Nup98
,,Nupr1
,,Nus1
,,Nusap1
,,Nutf2
,,Nvl
,,Nwd1
,,Nxf1
,,Nxnl1
,,Nxpe1
,,Nxpe3
,,Nxt1
,,Nyap1
,,Oaf
,,Oard1
,,Oasl
,,Oaz1
,,Oaz2
,,Obi1
,,Ocel1
,,Ociad1
,,Ociad2
,,Ocln
,,Odf2l
,,Odf3l1
,,Odr4
,,Oga
,,Ogdh
,,Ogfod1
,,Ogfod2
,,Ogfr
,,Oip5
,,Oit3
,,Ola1
,,Olfm1
,,Olfm2
,,Olfm4
,,Olfml2b
,,Olfml3
,,Oma1
,,Omp
,,Opa1
,,Oplah
,,Opn3
,,Opn4
,,Oprm1
,,Optc
,,Optn
,,Orai1
,,Orai2
,,Orai3
,,Orc1
,,Orc2
,,Orc3
,,Orc4
,,Orc5
,,Orc6
,,Ormdl1
,,Ormdl2
,,Os9
,,Osbp
,,Osbpl10
,,Osbpl11
,,Osbpl2
,,Osbpl5
,,Osbpl8
,,Osbpl9
,,Oscp1
,,Oser1
,,Osgep
,,Osgepl1
,,Osgin1
,,Osgin2
,,Osm
,,Osmr
,,Ostc
,,Ostf1
,,Ostm1
,,Otogl
,,Otub1
,,Otub2
,,Otud3
,,Otud4
,,Otud6b
,,Otud7a
,,Otud7b
,,Otulin
,,Ovgp1
,,Oxa1l
,,Oxct1
,,Oxnad1
,,Oxsm
,,Oxsr1
,,P2rx3
,,P2ry1
,,P2ry11
,,P2ry2
,,P2ry6
,,P3h1
,,P3h2
,,P4ha1
,,P4ha3
,,P4htm
,,Pa2g4
,,Pabpc4
,,Pabpn1
,,Pacc1
,,Pacrg
,,Pacrgl
,,Pacs1
,,Pacs2
,,Pacsin1
,,Pacsin2
,,Pacsin3
,,Pafah2
,,Pag1
,,Pagr1
,,Pah
,,Paics
,,Paip1
,,Paip2
,,Pak1
,,Pak1ip1
,,Pak2
,,Palb2
,,Palm
,,Palm2akap2
,,Pam
,,Pan2
,,Pan3
,,Pank1
,,Pank2
,,Pank4
,,Panx1
,,Paox
,,Papln
,,Papola
,,Papolg
,,Pappa2
,,Paqr3
,,Paqr6
,,Paqr7
,,Paqr8
,,Pard3
,,Pard6a
,,Pard6b
,,Parg
,,Park7
,,Parl
,,Parp1
,,Parp10
,,Parp12
,,Parp14
,,Parp16
,,Parp2
,,Parp3
,,Parp4
,,Parp6
,,Parp8
,,Parpbp
,,Pars2
,,Parva
,,Parvb
,,Parvg
,,Pask
,,Patj
,,Patl1
,,Patz1
,,Pawr
,,Pax2
,,Paxbp1
,,Paxx
,,Pbk
,,Pbrm1
,,Pbx1
,,Pbx2
,,Pbx4
,,Pbxip1
,,Pc
,,Pcbp2
,,Pcbp3
,,Pcbp4
,,Pcca
,,Pccb
,,Pcdh12
,,Pcdh18
,,Pcdhgc4
,,Pced1a
,,Pcf11
,,Pcgf5
,,Pcid2
,,Pcif1
,,Pck2
,,Pclaf
,,Pclo
,,Pcm1
,,Pcmt1
,,Pcmtd1
,,Pcmtd2
,,Pcna
,,Pcnp
,,Pcnt
,,Pcnx1
,,Pcnx2
,,Pcnx3
,,Pcnx4
,,Pcolce
,,Pcolce2
,,Pcp4l1
,,Pcsk1
,,Pcsk4
,,Pcsk7
,,Pcyox1l
,,Pcyt1a
,,Pdap1
,,Pdcd10
,,Pdcd11
,,Pdcd2
,,Pdcd4
,,Pdcd6
,,Pdcd6ip
,,Pdcd7
,,Pdcl3
,,Pde10a
,,Pde12
,,Pde1b
,,Pde2a
,,Pde4a
,,Pde4b
,,Pde5a
,,Pde6a
,,Pde6d
,,Pde7a
,,Pde8a
,,Pde9a
,,Pdgfa
,,Pdgfc
,,Pdgfra
,,Pdgfrb
,,Pdhb
,,Pdhx
,,Pdia3
,,Pdia5
,,Pdik1l
,,Pdk1
,,Pdk4
,,Pdlim1
,,Pdlim2
,,Pdlim5
,,Pdlim7
,,Pdp1
,,Pdp2
,,Pdpr
,,Pdrg1
,,Pds5a
,,Pds5b
,,Pdss1
,,Pdss2
,,Pdxdc1
,,Pdxk
,,Pdxp
,,Pdzd2
,,Pdzd8
,,Pdzd9
,,Pdzk1
,,Pea15
,,Peak1
,,Pebp1
,,Pebp4
,,Pef1
,,Peg10
,,Peli1
,,Peli2
,,Pelo
,,Per2
,,Perm1
,,Pes1
,,Pex1
,,Pex10
,,Pex11a
,,Pex11b
,,Pex13
,,Pex14
,,Pex16
,,Pex19
,,Pex2
,,Pex3
,,Pex5l
,,Pex6
,,Pex7
,,Pfdn1
,,Pfdn2
,,Pfdn4
,,Pfdn5
,,Pfdn6
,,Pfkfb2
,,Pfkfb3
,,Pfkfb4
,,Pfkl
,,Pfkm
,,Pfkp
,,Pfn2
,,Pgam1
,,Pgam5
,,Pgap1
,,Pgap2
,,Pgap4
,,Pgd
,,Pgf
,,Pgghg
,,Pggt1b
,,Pgls
,,Pglyrp2
,,Pgm1
,,Pgm2
,,Pgm2l1
,,Pgm3
,,Pgpep1
,,Pgrmc2
,,Phactr4
,,Phax
,,Phc2
,,Phc3
,,Pheta1
,,Phf1
,,Phf10
,,Phf13
,,Phf14
,,Phf2
,,Phf20
,,Phf21a
,,Phf21b
,,Phf3
,,Phf5a
,,Phf7
,,Phgdh
,,Phgr1
,,Phip
,,Phkb
,,Phkg1
,,Phkg2
,,Phlda3
,,Phldb1
,,Phldb2
,,Phlpp1
,,Phlpp2
,,Phospho2
,,Phpt1
,,Phrf1
,,Phtf1
,,Phtf2
,,Phyh
,,Pi16
,,Pi4k2a
,,Pi4ka
,,Pi4kb
,,Pias1
,,Pias2
,,Pias3
,,Pias4
,,Pibf1
,,Picalm
,,Pick1
,,Pidd1
,,Piezo1
,,Pif1
,,Pigb
,,Pigc
,,Pigf
,,Pigh
,,Pigk
,,Pigm
,,Pign
,,Pigo
,,Pigp
,,Pigt
,,Pigu
,,Pigv
,,Pigx
,,Pigy
,,Pigz
,,Pih1d2
,,Pik3ap1
,,Pik3c2a
,,Pik3c2b
,,Pik3c3
,,Pik3ca
,,Pik3cb
,,Pik3cd
,,Pik3cg
,,Pik3ip1
,,Pik3r1
,,Pik3r2
,,Pik3r4
,,Pikfyve
,,Pim1
,,Pim3
,,Pin1
,,Pink1
,,Pinx1
,,Pip4k2a
,,Pip4k2c
,,Pip4p1
,,Pip4p2
,,Pip5k1a
,,Pip5k1c
,,Pisd
,,Pithd1
,,Pitpnb
,,Pitpnm1
,,Pitpnm2
,,Pitrm1
,,Piwil4
,,Pja2
,,Pjvk
,,Pkd1l1
,,Pkd1l3
,,Pkdcc
,,Pkhd1
,,Pkia
,,Pkib
,,Pkig
,,Pkm
,,Pkn1
,,Pkn2
,,Pknox1
,,Pkp1
,,Pkp3
,,Pkp4
,,Pla1a
,,Pla2g12a
,,Pla2g15
,,Pla2g4a
,,Pla2g4b
,,Pla2g4d
,,Pla2g4e
,,Pla2g5
,,Pla2g6
,,Plaa
,,Plac8
,,Plac8l1
,,Plag1
,,Plagl2
,,Plat
,,Plau
,,Plbd2
,,Plcb1
,,Plcb3
,,Plcd1
,,Plcd4
,,Plce1
,,Plcg1
,,Plch1
,,Plch2
,,Plcl1
,,Plcxd2
,,Plcxd3
,,Pld1
,,Plek2
,,Plekha1
,,Plekha2
,,Plekha3
,,Plekha6
,,Plekhb2
,,Plekhd1
,,Plekhg3
,,Plekhg4
,,Plekhh1
,,Plekhh2
,,Plekhj1
,,Plekhm2
,,Plekhm3
,,Plekhn1
,,Plekho1
,,Plekho2
,,Plgrkt
,,Plin2
,,Plin3
,,Plin4
,,Plk1
,,Plk2
,,Plk3
,,Plk4
,,Pllp
,,Plod1
,,Plod2
,,Plpbp
,,Plpp1
,,Plpp2
,,Plpp3
,,Plpp5
,,Plpp6
,,Plppr2
,,Plrg1
,,Plscr4
,,Pltp
,,Plxna2
,,Plxna4
,,Plxnb2
,,Plxnc1
,,Pm20d2
,,Pmel
,,Pmf1
,,Pml
,,Pmm1
,,Pmpca
,,Pmpcb
,,Pms2
,,Pmvk
,,Pnisr
,,Pnldc1
,,Pnma1
,,Pnn
,,Pno1
,,Pnp
,,Pnpla2
,,Pnpla6
,,Pnpla7
,,Pnpla8
,,Pnpt1
,,Pnrc1
,,Pnrc2
,,Poc1a
,,Poc1b
,,Poc5
,,Podnl1
,,Pofut1
,,Pofut2
,,Pogk
,,Poglut1
,,Poglut2
,,Poglut3
,,Pogz
,,Pola2
,,Polb
,,Pold2
,,Pold3
,,Pold4
,,Poldip3
,,Pole
,,Pole2
,,Pole3
,,Polg
,,Poli
,,Polk
,,Poll
,,Polm
,,Poln
,,Polq
,,Polr1b
,,Polr1c
,,Polr1d
,,Polr1e
,,Polr1h
,,Polr2b
,,Polr2c
,,Polr2d
,,Polr2e
,,Polr2f
,,Polr2g
,,Polr2h
,,Polr2l
,,Polr2m
,,Polr3a
,,Polr3b
,,Polr3c
,,Polr3d
,,Polr3e
,,Polr3f
,,Polr3g
,,Polr3gl
,,Polr3h
,,Polrmt
,,Pom121c
,,Pomgnt1
,,Pomgnt2
,,Pomk
,,Pomp
,,Pomt2
,,Pon2
,,Pop5
,,Pop7
,,Por
,,Postn
,,Pot1
,,Pou2af1
,,Pou2f1
,,Pou2f3
,,Pou5f2
,,Pou6f1
,,Pp2d1
,,Ppa1
,,Ppara
,,Ppard
,,Ppargc1a
,,Ppargc1b
,,Ppat
,,Ppcdc
,,Ppcs
,,Ppdpf
,,Ppfia1
,,Ppfia4
,,Ppfibp2
,,Pphln1
,,Ppia
,,Ppib
,,Ppic
,,Ppie
,,Ppif
,,Ppig
,,Ppih
,,Ppil1
,,Ppil2
,,Ppil3
,,Ppil4
,,Ppil6
,,Ppip5k1
,,Ppip5k2
,,Ppm1a
,,Ppm1b
,,Ppm1f
,,Ppm1h
,,Ppm1l
,,Ppm1m
,,Ppme1
,,Ppox
,,Ppp1ca
,,Ppp1cc
,,Ppp1r10
,,Ppp1r11
,,Ppp1r12a
,,Ppp1r12b
,,Ppp1r13b
,,Ppp1r14b
,,Ppp1r15b
,,Ppp1r16a
,,Ppp1r18
,,Ppp1r2
,,Ppp1r21
,,Ppp1r36
,,Ppp1r3b
,,Ppp1r7
,,Ppp1r8
,,Ppp2cb
,,Ppp2r1b
,,Ppp2r2a
,,Ppp2r3a
,,Ppp2r3c
,,Ppp2r5a
,,Ppp2r5b
,,Ppp2r5c
,,Ppp2r5d
,,Ppp2r5e
,,Ppp3cb
,,Ppp3cc
,,Ppp3r1
