common_wtpro_geneid_RNA,common_b12pro_geneid_RNA,background_geneid_RNA
Dut,Dnajc10,Asf1a
Dxo,Dnajc22,Asf1b
Dync1h1,Dnajc25,Ash1l
Dync1i2,Dnajc9,Ash2l
Dync1li1,Dnm1l,Asip
Dync1li2,Dnm2,Asl
Dyrk3,Dnmt1,Asns
Dzip1l,Dnttip2,Asnsd1
E2f2,Dock6,Aspg
E2f3,Donson,Asph
E2f4,Dop1a,Aspm
E2f7,Dot1l,Aspn
E2f8,Dpagt1,Asrgl1
Eaf1,Dpf3,Aste1
Ebf2,Dph2,Astl
Ebna1bp2,Dpp10,Asxl1
Ecd,Dpy19l1,Atad1
Eci2,Dpy19l4,Atat1
Ecm1,Drc7,Ate1
Ecpas,Drg1,Atf1
Ecsit,Drgx,Atf2
Ect2,Drosha,Atf3
Edc3,Dse,Atf4
Edf1,Dsn1,Atf6
Eed,Dtl,Atf6b
Eef1a1,Dtna,Atg10
Eef1aknmt,Dtx4,Atg101
Eef1d,Dtymk,Atg12
Eef1g,Dus2,Atg13
Efcab11,Dusp10,Atg14
Ehd1,Dusp12,Atg16l1
Ehmt1,Dusp28,Atg16l2
Eif1ad,Dusp6,Atg2a
Eif2b1,Dut,Atg2b
Eif2b2,Dxo,Atg3
Eif2b5,Dync1i2,Atg4b
Eif2s1,Dync1li1,Atg4c
Eif3a,Dync1li2,Atg4d
Eif3b,Dyrk3,Atg5
Eif3d,E2f1,Atg9a
Eif3f,E2f2,Atic
Eif3g,E2f3,Atl1
Eif3j,E2f4,Atl3
Eif3l,E2f7,Atmin
Eif3m,E2f8,Atp10a
Eif4e,Ebf2,Atp10d
Eif4e2,Ebna1bp2,Atp11a
Eif4enif1,Echs1,Atp11b
Eif4g1,Ecsit,Atp12a
Eif4g2,Ect2,Atp13a1
Eif5,Edc3,Atp13a2
Eif5a2,Edf1,Atp13a3
Eif5b,Eed,Atp1a1
Elavl1,Eef1aknmt,Atp1b1
Elf1,Eef1d,Atp1b3
Elf2,Eef2k,Atp23
Elmo1,Efcab11,Atp2a1
Eloa,Efcab2,Atp2a2
Elp2,Efemp1,Atp2b1
Elp3,Ehd1,Atp2b4
Elp4,Ehd4,Atp2c1
Emc8,Ehmt1,Atp5f1a
Eml3,Ehmt2,Atp5f1b
Emsy,Eif1ad,Atp5f1d
Enc1,Eif2ak1,Atp5f1e
Endod1,Eif2b1,Atp5if1
Enoph1,Eif2b2,Atp5mc2
Entpd7,Eif2b5,Atp5mc3
Entr1,Eif2d,Atp5md
Ep300,Eif2s1,Atp5mf
Epb41l4a,Eif2s2,Atp5mg
Epc1,Eif3b,Atp5mpl
Epc2,Eif3d,Atp5pb
Epdr1,Eif3j,Atp5pf
Epha2,Eif3l,Atp5po
Eprs1,Eif4e,Atp6v0a2
Eps15l1,Eif4ebp2,Atp6v0b
Erbin,Eif4g1,Atp6v0d1
Erc2,Eif4g2,Atp6v1a
Ercc3,Eif4h,Atp6v1b2
Ercc5,Eif5,Atp6v1d
